Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/27/20 23:59,1423.0,76.0,45.0
Guangdong,Mainland China,1/27/20 23:59,151.0,,4.0
Zhejiang,Mainland China,1/27/20 23:59,128.0,,1.0
Henan,Mainland China,1/27/20 23:59,128.0,1.0,
Chongqing,Mainland China,1/27/20 23:59,110.0,,
Hunan,Mainland China,1/27/20 23:59,100.0,,
Beijing,Mainland China,1/27/20 23:59,80.0,1.0,2.0
Shandong,Mainland China,1/27/20 23:59,75.0,,
Jiangxi,Mainland China,1/27/20 23:59,72.0,,2.0
Anhui,Mainland China,1/27/20 23:59,70.0,,
Sichuan,Mainland China,1/27/20 23:59,69.0,,
Fujian,Mainland China,1/27/20 23:59,59.0,,
Shanghai,Mainland China,1/27/20 23:59,53.0,1.0,3.0
Jiangsu,Mainland China,1/27/20 23:59,47.0,,1.0
Guangxi,Mainland China,1/27/20 23:59,46.0,,
Shaanxi,Mainland China,1/27/20 23:59,35.0,,
Hainan,Mainland China,1/27/20 23:59,33.0,1.0,
Liaoning,Mainland China,1/27/20 23:59,27.0,,
Yunnan,Mainland China,1/27/20 23:59,26.0,,
Tianjin,Mainland China,1/27/20 23:59,23.0,,
Heilongjiang,Mainland China,1/27/20 23:59,21.0,1.0,
Hebei,Mainland China,1/27/20 23:59,18.0,1.0,
Gansu,Mainland China,1/27/20 23:59,14.0,,
Shanxi,Mainland China,1/27/20 23:59,13.0,,
Inner Mongolia,Mainland China,1/27/20 23:59,11.0,,
Hong Kong,Hong Kong,1/27/20 23:59,8.0,,
Guizhou,Mainland China,1/27/20 23:59,7.0,,
Ningxia,Mainland China,1/27/20 23:59,7.0,,
Jilin,Mainland China,1/27/20 23:59,6.0,,
Macau,Macau,1/27/20 23:59,6.0,,
Qinghai,Mainland China,1/27/20 23:59,6.0,,
Taiwan,Taiwan,1/27/20 23:59,5.0,,
Xinjiang,Mainland China,1/27/20 23:59,5.0,,
Washington,US,1/27/20 23:59,1.0,,
Illinois,US,1/27/20 23:59,1.0,,
California,US,1/27/20 23:59,2.0,,
Arizona,US,1/27/20 23:59,1.0,,
,Japan,1/27/20 23:59,4.0,,1.0
,Thailand,1/27/20 23:59,8.0,0.0,6.0
,South Korea,1/27/20 23:59,4.0,,
,Singapore,1/27/20 23:59,5.0,,
,Vietnam,1/27/20 23:59,2.0,,
,France,1/27/20 23:59,3.0,,
,Nepal,1/27/20 23:59,1.0,,
,Malaysia,1/27/20 23:59,4.0,,
Ontario,Canada,1/27/20 23:59,1.0,,
,Cambodia,1/27/20 23:59,1.0,,
,Sri Lanka,1/27/20 23:59,1.0,,
,Ivory Coast,1/27/20 23:59,1.0,,
New South Wales,Australia,1/27/20 23:59,4.0,,
Victoria,Australia,1/27/20 23:59,1.0,,
Unknown,China,1/27/20 23:59,,,
