FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2020-12-04 05:27:27,33.93911,67.709953,46837,1846,37260,7659.0,Afghanistan,120.01025165701256,3.9406652682049743
,,,Albania,2020-12-04 05:27:27,41.1533,20.1683,40501,852,20484,19165.0,Albania,1407.3597887275002,2.1036517616848966
,,,Algeria,2020-12-04 05:27:27,28.0339,1.6596,85927,2480,55538,27909.0,Algeria,195.9520096249478,2.886170819416481
,,,Andorra,2020-12-04 05:27:27,42.5063,1.5218,6904,77,6066,761.0,Andorra,8935.481783472465,1.1152954808806492
,,,Angola,2020-12-04 05:27:27,-11.2027,17.8739,15361,352,8244,6765.0,Angola,46.73788943727958,2.2915174793307727
,,,Antigua and Barbuda,2020-12-04 05:27:27,17.0608,-61.7964,144,4,133,7.0,Antigua and Barbuda,147.04680990115187,2.7777777777777777
,,,Argentina,2020-12-04 05:27:27,-38.4161,-63.6167,1447732,39305,1274675,133752.0,Argentina,3203.2461793941497,2.7149361898472923
,,,Armenia,2020-12-04 05:27:27,40.0691,45.0382,138508,2254,113228,23026.0,Armenia,4674.21742596096,1.627342824963179
,,Australian Capital Territory,Australia,2020-12-04 05:27:27,-35.4735,149.0124,117,3,112,2.0,"Australian Capital Territory, Australia",27.330063069376315,2.5641025641025643
,,New South Wales,Australia,2020-12-04 05:27:27,-33.8688,151.2093,4603,53,0,1364.0,"New South Wales, Australia",56.7011579206701,1.151422985009776
,,Northern Territory,Australia,2020-12-04 05:27:27,-12.4634,130.8456,59,0,46,13.0,"Northern Territory, Australia",24.0228013029316,0.0
,,Queensland,Australia,2020-12-04 05:27:27,-27.4698,153.0251,1208,6,1190,12.0,"Queensland, Australia",23.61450493597889,0.4966887417218543
,,South Australia,Australia,2020-12-04 05:27:27,-34.9285,138.6007,562,4,551,7.0,"South Australia, Australia",31.995445488186736,0.7117437722419929
,,Tasmania,Australia,2020-12-04 05:27:27,-42.8821,147.3272,230,13,217,0.0,"Tasmania, Australia",42.95051353874883,5.652173913043479
,,Victoria,Australia,2020-12-04 05:27:27,-37.8136,144.9631,20345,820,19525,0.0,"Victoria, Australia",306.8673735652121,4.030474318014254
,,Western Australia,Australia,2020-12-04 05:27:27,-31.9505,115.8605,825,9,802,14.0,"Western Australia, Australia",31.361666539952864,1.0909090909090908
,,,Austria,2020-12-04 05:27:27,47.5162,14.5501,293430,3538,238127,51765.0,Austria,3258.016521584651,1.2057390178236718
